受理号,药品名称,注册申请人,承办日期,申请日期,公示日期,状态,拟定适应症（或功能主治）
JXHL1600150,Cabotegravir混悬注射液,葛兰素史克(中国)投资有限公司,2017-01-20,2017-02-07,2017-03-03,已纳入,预防人类免疫缺陷病毒（HIV）感染。
JXHL1700001,依巴司韦格佐普韦片,默沙东研发（中国）有限公司,2017-01-22,2017-02-03,2017-03-03,已纳入,用于治疗成人基因1、3或4型慢性丙型肝炎感染 
JXHS1600083,沙库巴曲缬沙坦钠片,北京诺华制药有限公司,2017-01-12,2017-02-06,2017-03-03,已纳入,用于治疗收缩性心力衰竭的患者。用于降低心血管死亡和心力衰竭住院风险。
JXHS1600084,沙库巴曲缬沙坦钠片,北京诺华制药有限公司,2017-01-12,2017-02-06,2017-03-03,已纳入,用于治疗收缩性心力衰竭的患者。用于降低心血管死亡和心力衰竭住院风险。 
JXHS1600085,沙库巴曲缬沙坦钠片,北京诺华制药有限公司,2017-01-12,2017-02-06,2017-03-03,已纳入,用于治疗收缩性心力衰竭的患者。用于降低心血管死亡和心力衰竭住院风险。
JXHS1600072,奥达特罗吸入喷雾剂,勃林格殷格翰（中国）投资有限公司,2016-12-19,2017-01-24,2017-03-03,已纳入,本品是一种长效βR2R-受体激动剂，适用于对慢性阻塞性肺疾病（COPD，简称慢阻肺，包括慢性支气管炎和/或肺气肿）患者的长期支气管舒张维持治疗，每日使用1次，以改善气流阻塞。
JXHS1600073,氢溴酸伏硫西汀片,灵北（北京）医药信息咨询有限公司,2016-12-21,2017-01-12,2017-03-03,已纳入,治疗成人抑郁症
JXHS1600074,氢溴酸伏硫西汀片,灵北（北京）医药信息咨询有限公司,2016-12-14,2017-01-12,2017-03-03,已纳入,治疗成人抑郁症
JXHS1600075,氢溴酸伏硫西汀片,灵北（北京）医药信息咨询有限公司,2016-12-21,2017-01-12,2017-03-03,已纳入,治疗成人抑郁症
JXHS1600076,氢溴酸伏硫西汀片,灵北（北京）医药信息咨询有限公司,2016-12-14,2017-01-12,2017-03-03,已纳入,治疗成人抑郁症
JXHS1700002,小儿法罗培南钠颗粒,北京国仁堂医药科技发展有限公司,2017-01-25,2017-02-06,2017-03-03,已纳入,由对法罗培南敏感的葡萄球菌属、链球菌属、肺炎球菌、肠球菌属、卡他莫拉（布兰汉）菌、大肠杆菌、柠檬酸杆菌属、克雷伯氏菌属、奇异变形杆菌、流感嗜血杆菌、百日咳杆菌引起的儿童呼吸道感染：咽喉炎、扁桃体炎、急性支气管炎、肺炎和百日咳。
JXHS1700005,甲磺酸奥希替尼片,阿斯利康投资（中国）有限公司,2017-02-03,2017-02-03,2017-03-03,已纳入,本品适用于既往经表皮生长因子受体(EGFR)酪氨酸激酶抑制剂(TKI)治疗时或治疗后出现疾病进展，并且经检测确认存在EGFR T790M突变阳性的局部晚期或转移性非小细胞性肺癌(NSCLC)成人患者的治疗。
JXHS1700006,甲磺酸奥希替尼片,阿斯利康投资（中国）有限公司,2017-02-03,2017-02-03,2017-03-03,已纳入,本品适用于既往经表皮生长因子受体(EGFR)酪氨酸激酶抑制剂(TKI)治疗时或治疗后出现疾病进展，并且经检测确认存在EGFR T790M突变阳性的局部晚期或转移性非小细胞性肺癌(NSCLC)成人患者的治疗。
JXSS1600009,注射用拉布立海,赛诺菲（中国）投资有限公司,2017-01-13,2017-01-16,2017-03-03,已纳入,用于儿童白血病、淋巴瘤患者的尿酸水平控制，这些患者已经存在高尿酸血症或具有高肿瘤负荷，存在肿瘤化疗后引起肿瘤细胞溶解进而导致继发性的血浆尿酸水平升高的风险。
CYSB1600215,Sabin株脊髓灰质炎灭活疫苗（Vero细胞）,中国医学科学院医学生物学研究所,2017-02-22,2017-03-02,2017-03-03,已纳入,预防脊髓灰质炎
JXSS1500010,德谷胰岛素注射液,诺和诺德（中国）制药有限公司,2015-09-24,2017-02-22,2017-03-03,已纳入,用于治疗糖尿病
JXSS1500011,德谷胰岛素注射液,诺和诺德（中国）制药有限公司,2015-09-24,2017-02-22,2017-03-03,已纳入,用于治疗糖尿病
CXHL1400122,注射用丹曲林钠,丽珠集团丽珠制药厂,2015-02-26,2016-11-29,2017-02-28,已纳入,用于急性高热综合征。
CYHS1400147,丹曲林钠,珠海保税区丽珠合成制药有限公司,2015-04-30,2016-11-29,2017-02-28,已纳入,用于急性高热综合征。
CXHL1600219,SH229,南京圣和药业有限公司,2016-12-07,2016-12-08,2017-02-28,已纳入,丙型肝炎
CXHL1600220,SH229片,南京圣和药业有限公司,2016-12-07,2016-12-08,2017-02-28,已纳入,丙型肝炎
CXHL1600221,SH229片,南京圣和药业有限公司,2016-12-07,2016-12-08,2017-02-28,已纳入,丙型肝炎
CXHS1600008,苯烯莫德乳膏,深圳天济药业有限公司,2016-12-09,2016-12-12,2017-02-28,已纳入,轻、中度银屑病
CXHS1600011,丹诺瑞韦钠,歌礼药业（浙江）有限公司,2017-01-03,2017-01-03,2017-02-28,已纳入,本品应与其他药物联合组成抗病毒治疗方案，用于治疗初治的非肝硬化的基因1型慢性丙型肝炎患者。
CXHS1600012,丹诺瑞韦钠片,歌礼药业（浙江）有限公司,2017-01-03,2017-01-03,2017-02-28,已纳入,本品应与其他药物联合组成抗病毒治疗方案，用于治疗初治的非肝硬化的基因1型慢性丙型肝炎患者。
CXSL1600085,重组人血小板生成素注射液,沈阳三生制药有限责任公司,2016-11-28,2016-12-13,2017-02-28,已纳入,儿童原发免疫性血小板减少症（ITP）
CXSL1600084,重组人血小板生成素注射液,沈阳三生制药有限责任公司,2016-11-28,2016-12-13,2017-02-28,已纳入,儿童原发免疫性血小板减少症（ITP）
CYHS1400517,拉坦噻吗滴眼液,齐鲁制药有限公司,2014-10-13,2016-12-04,2017-02-28,已纳入,"降低开角型青光眼和高眼压症病人升高的眼压。
适用于β-受体阻滞剂局部治疗效果不佳的病人。
"
JXHL1600137,盐酸利多卡因粉末无针经皮注射给药系统,兆科药业（合肥）有限公司,2016-11-16,2016-11-25,2017-02-28,已纳入,本品用于3-18岁未成年人的静脉穿刺术或外周静脉插管术的术前局部皮肤麻醉。
JXHL1600143,奥比帕利片,艾伯维医药贸易（上海）有限公司,2016-12-19,2016-12-20,2017-02-28,已纳入,"奥比帕利片与达塞布韦片联合用于慢性HCV基因1b型感染的非肝硬化患者的治疗。
奥比帕利片与达塞布韦片和利巴韦林联合用于慢性HCV基因1b型感染的代偿性肝硬化患者的治疗。
*我们同时递交了达塞布韦片的优先审评申请（受理号：JXHL1400144）
"
JXHL1600144,达塞布韦片,艾伯维医药贸易（上海）有限公司,2016-12-19,2016-12-20,2017-02-28,已纳入,"达塞布韦片与奥比帕利片联合用于慢性HCV基因1b型感染的非肝硬化患者的治疗。
达塞布韦片与奥比帕利片和利巴韦林联合用于慢性HCV基因1b型感染的代偿性肝硬化患者的治疗。
*我们同时递交了奥比帕利片的优先审评申请（受理号：JXHL1400143）
"
JXHS1300114,甲磺酸雷沙吉兰片,灵北（北京）医药信息咨询有限公司,2014-01-06,2016-12-20,2017-02-28,已纳入,本品适用于原发性帕金森病患者，伴有剂末波动的联合治疗（与左旋多巴合用）。
JXHS1300115,甲磺酸雷沙吉兰片,灵北（北京）医药信息咨询有限公司,2014-01-06,2017-02-28,2017-02-28,已纳入,本品适用于原发性帕金森病患者，伴有剂末波动的联合治疗（与左旋多巴合用）。  
JXHS1600020,达比加群酯胶囊,勃林格殷格翰（中国）投资有限公司,2016-03-10,2016-12-06,2017-02-28,已纳入,"治疗急性深静脉血栓形成（DVT）和/或肺栓塞（PE）以及预防相关死亡。
预防复发性深静脉血栓形成（DVT）和/或肺栓塞（PE）以及相关死亡。"
JXHS1600028,利伐沙班片,拜耳医药保健有限公司,2016-03-23,2016-12-05,2017-02-28,已纳入,治疗肺栓塞（PE），和预防PE复发及深静脉血栓（DVT）。
JXHS1600029,利伐沙班片,拜耳医药保健有限公司,2016-03-17,2016-12-06,2017-02-28,已纳入,治疗肺栓塞（PE），和预防PE复发及深静脉血栓（DVT）
JXHS1600031,利伐沙班片,拜耳医药保健有限公司,2016-03-23,2016-12-06,2017-02-28,已纳入,治疗肺栓塞（PE），和预防PE复发及深静脉血栓（DVT）
JXHS1600032,利伐沙班片,拜耳医药保健有限公司,2016-03-17,2016-12-06,2017-02-28,已纳入,治疗肺栓塞（PE），和预防PE复发及深静脉血栓（DVT）
JXHS1600065,德拉马尼片,大冢制药研发（北京）有限公司,2016-11-10,2016-12-08,2017-02-28,已纳入,本品用于治疗耐多药肺结核。
CYHS1300851,拉坦噻吗滴眼液,齐鲁制药有限公司,2013-12-18,2016-12-04,2017-02-28,已纳入,"用于降低开角型青光眼和高眼压症病人升高的眼压。
适用于β-受体阻滞剂局部治疗效果不佳的病人。"
JXSL1600063,度拉糖肽注射液,美国礼来亚洲公司上海代表处,2016-11-16,2016-11-28,2017-02-28,已纳入,儿童糖尿病
JXHS1600062,盐酸达拉他韦片,百时美施贵宝（中国）投资有限公司,2016-11-07,2016-11-25,2016-12-16,已纳入,"盐酸达拉他韦片与其它药物联合，用于治疗成人慢性丙型肝炎（非肝硬化或肝硬化），见【用法用量】。
盐酸达拉他韦片不得作为单药治疗。"
JXHS1600063,阿舒瑞韦软胶囊,百时美施贵宝（中国）投资有限公司,2016-11-02,2016-11-25,2016-12-16,已纳入,"阿舒瑞韦软胶囊与盐酸达拉他韦片联合，用于治疗成人基因1b型慢性丙型肝炎（非肝硬化或代偿期肝硬化）。
阿舒瑞韦软胶囊不得作为单药治疗。
"
JXHS1600067,阿舒瑞韦软胶囊,百时美施贵宝（中国）投资有限公司,2016-11-16,2016-11-25,2016-12-16,已纳入,"阿舒瑞韦软胶囊与盐酸达拉他韦片联合，用于治疗成人基因1b型慢性丙型肝炎（非肝硬化或代偿期肝硬化）。
阿舒瑞韦软胶囊不得作为单药治疗。"
JXHS1600068,盐酸达拉他韦片,百时美施贵宝（中国）投资有限公司,2016-11-16,2016-11-25,2016-12-16,已纳入,"盐酸达拉他韦片与其它药物联合，用于治疗成人慢性丙型肝炎（非肝硬化或肝硬化），见【用法用量】。
盐酸达拉他韦片不得作为单药治疗。
"
JXHS1600064,西美瑞韦胶囊,西安杨森制药有限公司,2016-11-09,2016-11-09,2016-12-16,已纳入,本品与其他药品联用用于治疗慢性丙型肝炎（CHC）的成年患者。
CXHL1600244,ACC007,江苏艾迪药业有限公司,2016-11-09,2016-11-14,2016-12-02,已纳入,治疗HIV-1感染
CXHL1600245,ACC007片,江苏艾迪药业有限公司,2016-11-09,,2016-12-02,已纳入,
CYHS1490056,盐酸莫西沙星片,北京万生药业有限责任公司,2014-07-17,2016-11-02,2016-12-02,已纳入,  本品的适应症为治疗患有上呼吸道和下呼吸道感染的成人(≥18岁)，如：急性窦炎，慢性支气管炎急性发作，社区获得性肺炎；以及皮肤和软组织感染。世界卫生组织（WHO）和中国防痨协会推荐本品为治疗耐多药肺结核（MDR-TB）首选的氟喹诺酮类药物。
CYHS1600082,富马酸替诺福韦二吡呋酯片,正大天晴药业集团股份有限公司,2016-10-17,2016-10-27,2016-12-02,已纳入,"富马酸替诺福韦二吡呋酯片用于:
HIV-1感染:富马酸替诺福韦二吡呋酯适用于与其他抗逆转录病毒药物联用，治疗成人HIV-1感染。
慢性乙型肝炎:富马酸替诺福韦二吡呋酯适用于治疗慢性乙肝成人和≥12岁的儿童患者。
"
CYHS1401649,氟[18F]脱氧葡糖注射液,江苏华益科技有限公司,2015-05-15,2016-10-12,2016-12-02,已纳入,"本品用于正电子发射断层显像（PET），利用病灶的异常糖代谢的特点进行定位诊断与评估。
1.用于肿瘤PET显像，评估疑似或确诊病例肿瘤的恶性程度。
2.用于冠状动脉疾病和左心室功能不全PET显像。与其他心肌灌注显像联用，用于评估左室功能不全病例左心室的心肌活性与心肌收缩功能的可恢复性。
3.用于确定与不正常葡糖代谢相关的癫痫病人的癫痫病灶。
"
CXHS1400150,盐酸莫西沙星,北京万生药业有限责任公司,2014-07-28,2016-11-02,2016-12-02,已纳入,  本品的适应症为治疗患有上呼吸道和下呼吸道感染的成人(≥18岁)，如：急性窦炎，慢性支气管炎急性发作，社区获得性肺炎；以及皮肤和软组织感染。世界卫生组织（WHO）和中国防痨协会推荐本品为治疗耐多药肺结核（MDR-TB）首选的氟喹诺酮类药物。
CYHS1600039,缬沙坦片,浙江华海药业股份有限公司,2016-11-04,2016-11-08,2016-12-02,已纳入,用于治疗轻、中度原发性高血压
CYHS1600044,缬沙坦片,浙江华海药业股份有限公司,2016-11-04,2016-11-08,2016-12-02,已纳入,用于治疗轻、中度原发性高血压
CYHS1600045,缬沙坦片,浙江华海药业股份有限公司,2016-11-04,2016-11-08,2016-12-02,已纳入,用于治疗轻、中度原发性高血压
JXHS1300004,孟鲁司特钠,广州安信医药有限公司,2013-01-25,2016-10-11,2016-12-02,已纳入,"本品适用于2岁至14岁儿童哮喘的预防和长期治疗 包括预防白天和夜间的哮喘症状 治疗对阿斯匹林敏感的哮喘患者以及预防运动诱发的支气管收缩。
本品适用于减轻季节性过敏性鼻炎引起的症状（2岁至14岁儿童以减轻季节性过敏性鼻炎和常年性过敏性鼻炎）。
"
CYHS1600088,孟鲁司特钠咀嚼片,上海安必生制药技术有限公司,2016-09-26,2016-09-27,2016-12-02,已纳入,"本品适用于2岁至14岁儿童哮喘的预防和长期治疗 包括预防白天和夜间的哮喘症状 治疗对阿斯匹林敏感的哮喘患者以及预防运动诱发的支气管收缩。
本品适用于减轻季节性过敏性鼻炎引起的症状（2岁至14岁儿童以减轻季节性过敏性鼻炎和常年性过敏性鼻炎）。"
CYHS1600089,孟鲁司特钠咀嚼片,上海安必生制药技术有限公司,2016-09-26,2016-09-27,2016-12-02,已纳入,"本品适用于2岁至14岁儿童哮喘的预防和长期治疗 包括预防白天和夜间的哮喘症状 治疗对阿斯匹林敏感的哮喘患者以及预防运动诱发的支气管收缩。
本品适用于减轻季节性过敏性鼻炎引起的症状（2岁至14岁儿童以减轻季节性过敏性鼻炎和常年性过敏性鼻炎）。"
CYHS1600127,孟鲁司特钠片,上海安必生制药技术有限公司,2016-11-17,2016-11-18,2016-12-02,已纳入,"本品适用于15岁及15岁以上成人哮喘的预防和长期治疗，包括预防白天和夜间的哮喘症状，治疗对阿司匹林敏感的哮喘患者以及预防运动诱发的支气管收缩。
本品适用于减轻过敏性鼻炎引起的症状（15岁及15岁以上成人的季节性过敏性鼻炎和常年性过敏性鼻炎）。"
CYHS1600049,缬沙坦片,浙江华海药业股份有限公司,2016-11-04,2016-11-08,2016-12-02,已纳入,用于治疗轻、中度原发性高血压
JXHS1600021,沙库巴曲缬沙坦钠片,北京诺华制药有限公司,2016-03-14,2016-11-25,2016-12-02,已纳入,用于治疗收缩性心力衰竭的患者。用于降低心血管死亡和心力衰竭住院风险。
JXHS1600022,沙库巴曲缬沙坦钠片,北京诺华制药有限公司,2016-04-08,2016-11-25,2016-12-02,已纳入,用于治疗收缩性心力衰竭的患者。用于降低心血管死亡和心力衰竭住院风险。
JXHS1600023,沙库巴曲缬沙坦钠片,北京诺华制药有限公司,2016-04-08,2016-11-25,2016-12-02,已纳入,用于治疗收缩性心力衰竭的患者。用于降低心血管死亡和心力衰竭住院风险。
JXHS1600033,利奥西呱片,拜耳医药保健有限公司,2016-03-31,2016-11-09,2016-12-02,已纳入,"慢性血栓栓塞性肺高压（CTEPH）：
本品适用于治疗患有以下疾病，世界卫生组织（WHO）心功能分级（FC）为 II至 III级的成年患者：不能手术的CTEPH，术后持续或复发性CTEPH，从而改善患者的运动能力。

肺动脉高压（PAH）
本品作为单药治疗或与内皮素受体拮抗剂或前列环素组成联合治疗，可治疗患有肺动脉高压，且WHO心功能分级（FC）为II至III级的成年患者，从而改善患者的运动能力。
在包括先天性或遗传性肺动脉高压或结缔组织疾病相关肺动脉高压患者在内的PAH患者群中，已显示其疗效。"
JXHS1600035,利奥西呱片,拜耳医药保健有限公司,2016-03-31,2016-11-09,2016-12-02,已纳入,"慢性血栓栓塞性肺高压（CTEPH）：
本品适用于治疗患有以下疾病，世界卫生组织（WHO）心功能分级（FC）为 II至 III级的成年患者：不能手术的CTEPH，术后持续或复发性CTEPH，从而改善患者的运动能力。 
肺动脉高压（PAH）:
本品作为单药治疗或与内皮素受体拮抗剂或前列环素组成联合治疗，可治疗患有肺动脉高压，且WHO心功能分级（FC）为II至III级的成年患者，从而改善患者的运动能力。在包括先天性或遗传性肺动脉高压或结缔组织疾病相关肺动脉高压患者在内的PAH患者群中，已显示其疗效。 "
JXHS1600036,利奥西呱片,拜耳医药保健有限公司,2016-03-31,2016-11-09,2016-12-02,已纳入,"慢性血栓栓塞性肺高压（CTEPH）：
本品适用于治疗患有以下疾病，世界卫生组织（WHO）心功能分级（FC）为 II至 III级的成年患者：不能手术的CTEPH，术后持续或复发性CTEPH，从而改善患者的运动能力。 

肺动脉高压（PAH）:
本品作为单药治疗或与内皮素受体拮抗剂或前列环素组成联合治疗，可治疗患有肺动脉高压，且WHO心功能分级（FC）为II至III级的成年患者，从而改善患者的运动能力。在包括先天性或遗传性肺动脉高压或结缔组织疾病相关肺动脉高压患者在内的PAH患者群中，已显示其疗效。 "
JXHS1600037,利奥西呱片,拜耳医药保健有限公司,2016-03-31,2016-11-09,2016-12-02,已纳入,"慢性血栓栓塞性肺高压（CTEPH）：
本品适用于治疗患有以下疾病，世界卫生组织（WHO）心功能分级（FC）为 II至 III级的成年患者：不能手术的CTEPH，术后持续或复发性CTEPH，从而改善患者的运动能力。 

肺动脉高压（PAH）: 
本品作为单药治疗或与内皮素受体拮抗剂或前列环素组成联合治疗，可治疗患有肺动脉高压，且WHO心功能分级（FC）为II至III级的成年患者，从而改善患者的运动能力。在包括先天性或遗传性肺动脉高压或结缔组织疾病相关肺动脉高压患者在内的PAH患者群中，已显示其疗效。 "
JXHS1600038,利奥西呱片,拜耳医药保健有限公司,2016-03-31,2016-11-09,2016-12-02,已纳入,"慢性血栓栓塞性肺高压（CTEPH）：
本品适用于治疗患有以下疾病，世界卫生组织（WHO）心功能分级（FC）为 II至 III级的成年患者：不能手术的CTEPH，术后持续或复发性CTEPH，从而改善患者的运动能力。 

肺动脉高压（PAH）: 
本品作为单药治疗或与内皮素受体拮抗剂或前列环素组成联合治疗，可治疗患有肺动脉高压，且WHO心功能分级（FC）为II至III级的成年患者，从而改善患者的运动能力。在包括先天性或遗传性肺动脉高压或结缔组织疾病相关肺动脉高压患者在内的PAH患者群中，已显示其疗效。 "
JXHS1600059,阿哌沙班片,辉瑞制药有限公司,2016-11-16,2016-11-14,2016-12-02,已纳入,"用于髋关节或膝关节择期置换术的成年患者，预防静脉血栓栓塞事件（VTE）。
用于治疗深静脉血栓（DVT），治疗肺栓塞（PE）。预防深静脉血栓（DVT）和肺栓塞（PE）的复发。
"
JXHS1600060,阿哌沙班片,辉瑞制药有限公司,2016-11-16,2016-11-14,2016-12-02,已纳入,"用于髋关节或膝关节择期置换术的成年患者，预防静脉血栓栓塞事件（VTE）。
用于治疗深静脉血栓（DVT），治疗肺栓塞（PE）。预防深静脉血栓（DVT）和肺栓塞（PE）的复发。
"
JXHS1600066,伊布替尼胶囊,西安杨森制药有限公司,2016-11-07,2016-11-07,2016-12-02,已纳入,"用于治疗以下患者： 
？既往至少接受过一种治疗的套细胞淋巴瘤（MCL）患者
？慢性淋巴细胞白血病（CLL）/小淋巴细胞淋巴瘤（SLL）患者  
"
JXSL1600036,注射用重组人凝血因子VIII,拜耳医药保健有限公司,2016-07-11,2016-11-11,2016-12-02,已纳入,"用于儿童A型血友病患者（小于12岁）治疗下列情况：
- 用于常规预防，以降低出血频率
- 出血事件的按需治疗和控制
- 围手术期出血的管理
"
JXSL1600037,注射用重组人凝血因子VIII,拜耳医药保健有限公司,2016-07-11,2016-11-11,2016-12-02,已纳入,"用于儿童A型血友病患者（小于12岁）治疗下列情况：
- 用于常规预防，以降低出血频率
- 出血事件的按需治疗和控制
- 围手术期出血的管理
"
JXSL1600038,注射用重组人凝血因子VIII,拜耳医药保健有限公司,2016-07-11,2016-11-11,2016-12-02,已纳入,"用于儿童A型血友病患者(小于12岁)治疗下列情况：
- 用于常规预防，以降低出血频率
- 出血事件的按需治疗和控制
- 围手术期出血的管理
"
JXSL1600039,注射用重组人凝血因子VIII,拜耳医药保健有限公司,2016-07-11,2016-11-11,2016-12-02,已纳入,"用于成年和青少年A型血友病患者（12岁及以上）治疗下列情况：
- 用于常规预防，以降低出血频率
- 出血事件的按需治疗和控制
- 围手术期出血的管理
"
JXSL1600040,注射用重组人凝血因子VIII,拜耳医药保健有限公司,2016-07-11,2016-11-11,2016-12-02,已纳入,"用于成年和青少年A型血友病患者（12岁及以上）治疗下列情况：
- 用于常规预防，以降低出血频率
- 出血事件的按需治疗和控制
- 围手术期出血的管理
"
JXSL1600041,注射用重组人凝血因子VIII,拜耳医药保健有限公司,2016-07-11,2016-11-11,2016-12-02,已纳入,"用于成年和青少年A型血友病患者（12岁及以上）治疗下列情况：
- 用于常规预防，以降低出血频率
- 出血事件的按需治疗和控制
- 围手术期出血的管理
"
CXSL1600047,注射用重组人凝血因子Ⅷ,北京诺思兰德生物技术股份有限公司,2016-07-28,2016-09-12,2016-12-02,已纳入,血友病A的预防及治疗
JXSS1600001,口服五价重配轮状病毒减毒活疫苗(Vero细胞),默沙东研发（中国）有限公司,2016-02-22,2016-11-08,2016-12-02,已纳入,本品用于预防血清型G1，G2，G3，G4以及含有P1[A]8的G型导致的婴幼儿轮状病毒胃肠炎。
CXHS1600005,艾博卫泰,前沿生物药业(南京)股份有限公司;前沿生物药业(南京)股份有限公司,2016-07-18,2016-09-06,2016-11-03,已纳入,艾博卫泰是一种人类免疫缺陷病毒（HIV-1）融合抑制剂。适用于与其它抗反转录病毒药物联合使用，治疗已接受过抗病毒药物治疗的HIV-1感染者。
CXHS1600006,注射用艾博卫泰,前沿生物药业(南京)股份有限公司;前沿生物药业(南京)股份有限公司,2016-07-18,2016-09-06,2016-11-03,已纳入,艾博卫泰是一种人类免疫缺陷病毒（HIV-1）融合抑制剂。适用于与其它抗反转录病毒药物联合使用，治疗已接受过抗病毒药物治疗的HIV-1感染者。
CYHS1200416,更昔洛韦钠,海南普利制药股份有限公司,2013-10-24,,2016-11-03,已纳入,
CYHS1201787,注射用更昔洛韦钠,海南普利制药股份有限公司,2014-01-26,2017-07-10,2016-11-03,已纳入,主要用于甲状腺疾病的治疗.
JXHS1300037,卡泊三醇,广州安信医药有限公司,2013-05-20,,2016-11-03,已纳入,
CYHS1402021,注射用泮托拉唑钠,海南普利制药股份有限公司,2015-07-17,,2016-11-03,已纳入,
CYHS1501116,盐酸伊立替康注射液,四川汇宇制药有限公司,2015-11-20,2016-09-22,2016-11-03,已纳入,"本品适用于晚期大肠癌患者的治疗：
与5-氟尿嘧啶和亚叶酸联合治疗既往未接受化疗的晚期大肠癌患者；
作为单一用药，治疗经含5-氟尿嘧啶化疗方案治疗失败的患者。
"
CYHS1501117,盐酸伊立替康注射液,四川汇宇制药有限公司,2015-11-20,,2016-11-03,已纳入,
CYHS1501118,盐酸伊立替康注射液,四川汇宇制药有限公司,2015-11-20,,2016-11-03,已纳入,用于治疗此前未经治疗且不适合接受移植的多发性骨髓瘤成年患者。
CYHS1600036,布洛芬注射液,成都苑东生物制药股份有限公司,2016-08-01,2016-09-12,2016-11-03,已纳入,"1、镇痛：用于成人的轻、中度疼痛治疗；作为阿片类药物的辅助，用于中、重度疼痛治疗。
2、发热：用于成人发热的退热治疗。
"
CYHS1600037,布洛芬注射液,成都苑东生物制药股份有限公司,2016-08-01,2016-09-12,2016-11-03,已纳入,"1、镇痛：用于成人的轻、中度疼痛治疗；作为阿片类药物的辅助，用于中、重度疼痛治疗。
2、发热：用于成人发热的退热治疗。
"
CYHS1600041,注射用培美曲塞二钠,四川汇宇制药有限公司,2016-08-08,2016-09-22,2016-11-03,已纳入,"非小细胞肺癌
本品单药适用于既往接受一线化疗后出现进展的局部晚期或转移性非鳞状细胞型非小细胞肺癌患者的治疗。
本品单药适用于经4个周期以铂类为基础的一线化疗后未出现进展的局部晚期或转移性的非鳞状细胞型非小细胞肺癌患者的维持治疗。

恶性胸膜间皮瘤
本品联合顺铂用于治疗无法手术的恶性胸膜间皮瘤。
"
CYHS1600043,注射用培美曲塞二钠,四川汇宇制药有限公司,2016-08-08,,2016-11-03,已纳入,
JXHS1400020,盐酸伊立替康,广州安信医药有限公司,2014-04-04,2016-09-26,2016-11-03,已纳入,"本品适用于晚期大肠癌患者的治疗：
与5-氟尿嘧啶和亚叶酸联合治疗既往未接受化疗的晚期大肠癌患者；
作为单一用药，治疗经含5-氟尿嘧啶化疗方案治疗失败的患者。
"
JXHL1600100,奥希替尼片,AstraZeneca AB;AstraZeneca AB;阿斯利康投资（中国）有限公司,2016-08-31,2016-09-14,2016-11-03,已纳入,详见附件
JXHL1600101,奥希替尼片,AstraZeneca AB;AstraZeneca AB;阿斯利康投资（中国）有限公司,2016-08-31,2016-09-14,2016-11-03,已纳入,详见附件
JXHS1600016,舒更葡糖钠注射液,默沙东研发（中国）有限公司,2016-03-07,2016-09-27,2016-11-03,已纳入,"在成人中拮抗罗库溴铵或维库溴铵诱导的神经肌肉阻滞。 
儿科患者：在儿童和青少年中，仅推荐本品用于常规拮抗罗库溴铵诱导的阻滞（2～17岁）。
"
JXHS1600017,舒更葡糖钠注射液,默沙东研发（中国）有限公司,2016-03-07,2016-09-27,2016-11-03,已纳入,"在成人中拮抗罗库溴铵或维库溴铵诱导的神经肌肉阻滞。 
儿科患者：在儿童和青少年中，仅推荐本品用于常规拮抗罗库溴铵诱导的阻滞（2～17岁）。
"
JXHS1600040,甲苯磺酸索拉非尼片,拜耳医药保健有限公司,2016-04-06,,2016-11-03,已纳入,
JXHL1300112,注射用米法莫肽钠脂质体,武田药品（中国）有限公司,2013-04-03,,2016-11-03,已纳入,
JXHL1600033,达芦司他片,"Janssen-Cilag International N.V.;Janssen Ortho, LLC;Janssen-Cilag SpA;西安杨森制药有限公司",2016-03-10,2016-09-30,2016-11-03,已纳入,"本品是达芦那韦和考比司他的固定剂量组合片剂，与其他抗逆转录病毒药物联合使用治疗以下患者的人类免疫缺陷病毒（HIV）感染：
- 抗逆转录病毒药物初治成年患者。
- 未出现达芦那韦耐药相关突变的既往接受抗逆转录病毒药物治疗的成年患者
"
CXSL1600011,治疗用乙型肝炎腺病毒注射液,;天士力创世杰（天津）生物制药有限公司,2016-07-18,2016-09-06,2016-11-03,已纳入,治疗慢性乙型肝炎
CXZL1600012,藿苓生肌颗粒,上海中医药大学,2016-07-11,2016-09-26,2016-11-03,已纳入,益气健脾，温肾助阳。用于精气损伤，气血亏虚，脏腑不足，经脉肌肉失养所致肌肉萎缩，肢体无力，肌肉震颤；肌萎缩侧索硬化症见上述证候者。
CYHS1200388,注射用阿奇霉素,海南普利制药有限公司,2013-04-10,,2016-11-03,已纳入,
JXHL1300160,泮托拉唑钠,阿拉宾度制药有限公司,2013-05-08,,2016-11-03,已纳入,治疗勃起功能障碍。
JXHS1300104,左乙拉西坦注射用浓溶液,优时比贸易（上海）有限公司,2013-12-13,,2016-11-03,已纳入,
JXSS1400006,阿达木单抗注射液,AbbVie Ltd;Vetter Pharma-Fertigung GmbH & Co.KG;艾伯维医药贸易（上海）有限公司,2014-06-03,2016-09-13,2016-11-03,已纳入,银屑病
CXHB1600009,赛拉瑞韦钾片,银杏树药业（苏州）有限公司,2016-03-28,2016-09-07,2016-10-28,已纳入,慢性丙型肝炎
